Course_Name,Platform,Domain,Difficulty_level,Language,Program_Type,Certificate_available,Skills
"U.S. Public Policy: Social,Economic, And Foreignpolicies",Harvard University,Social Sciences,Introductory,English,Xseriesinu.S. Government,Yes,"Public Policies, Economic Growth, Trade Agreement, Foreign Policies, Economics"
Science & Cooking: Fromhaute Cuisine To Softmatter Science (Physics),Harvard University,Physics,Introductory,English,Professional Certificate Inthe Science Of Cooking,Yes,"Physics, Soft Matter, Chemistry, Cooking, Experimentation, Research, Baking"
Introducci„≥N A Power Bipara Los Negocios,Universitat Polit„®Cnica De Val„®Ncia,Data Analysis & Statistics,Introductory,Espa„±Ol,Professional Certificate Inpower Bi Para Los Negocios,Yes,"Power BI, Microsoft Office, Teamwork, Data Analysis, Business Intelligence, Collaborative Software, Data Modeling"
Javascript Introduction,The World Wide Web Consortium‚Ä¶,Computer Science,Introductory,English,Professional Certificate Infront-End Web Developer,Yes,"Web Pages, JavaScript (Programming Language), Web Browsers, Cascading Style Sheets (CSS), Web Development, Multimedia, Front End (Software Engineering)"
Improving Global Health:Focusing On Quality Andsafety,Harvard University,Social Sciences,Intermediate,English,None,No,Public Health
Academic English: How Towrite An Essay,The University Of Queensland,Communication,Introductory,English,None,No,"Planning, Academic Writing, Research, Editing"
Introducci„≥N A La Gesti„≥Nde Proyectos,Universitat Polit„®Cnica De Val„®Ncia,Business & Management,Introductory,Espa„±Ol,Professional Certificate Ingesti„≥N De Proyectos Y Metodolog„≠A √°Gil,Yes,"Risk Management, Project Management Professional Certification, Time Management, Project Management, Project Management Institute (PMI) Methodology"
Super-Earths And Life,Harvard University,Physics,Introductory,English,None,No,"Astronomy, Geology, Biology, Solar Systems"
Understanding The Toeflessentials Test,Educational Testing Service,Communication,Introductory,English,None,No,"Writing, Research, English Language, Test Of English As A Foreign Language (TOEFL)"
Product Managementfundamentals,"The University Of Maryland, Collegepark‚Ä¶",Business & Management,Introductory,English,Professional Certificateinproduct Management,Yes,"Marketing Concepts, Commercialization, Market Development, Innovation, New Product Development, Product Management, Team Leadership, Management, Target Market"
Full Stack Applicationdevelopment Project,Ibm,Computer Science,Intermediate,English,Microbachelors Program Infull Stack Application Developmentprofessional Certificate Infull Stack Developer,Yes,"Full Stack Development, Django (Web Framework), Python (Programming Language), Application Development, User Interface Design, Front End (Software Engineering), Node.js"
Data Science: Linearregression,Harvard University,Data Analysis & Statistics,Introductory,English,Professional Certificateindata Science,Yes,"Linear Regression, Statistical Modeling, Data Science"
Introduction To Cloudinfrastructuretechnologies,The Linux Foundation,Computer Science,Introductory,English,Professional Certificateinintroduction To Kubernetes And Cloud Native Technologies,Yes,"Open-Source Software, Cloud Foundry, Software Defined Networking (SDN), Cloud Security Infrastructure, OpenStack, Network Computing, DevOps, Linux, Operations, Tooling, Kubernetes, Docker (Software), Cloud Services, Cloud Technologies, Continuous Integration, Open Source Technology, Cloud Infrastructure, Cloud Computing"
Medical Terminology,Doane University,Biology & Life Sciences,Introductory,English,None,No,"Auditing, Physiology, Pathology, Medical Terminology, Academic Integrity, Anatomy"
Transformando Laeducaci„≥N Con Ia:Chatgpt,Universidad Galileo,Education & Teacher Training,Introductory,Espa„±Ol,None,No,"Natural Language Processing, Artificial Intelligence, Experimentation, Teaching, Language Model"
Financial Accounting Andcapital Markets,University Of Cambridge,Economics & Finance,Intermediate,English,Professional Certificateinapplied Corporate Finance,Yes,"Loans, Depreciation, Cash Flows, Financial Modeling, Strategic Decision-Making, Capital Markets, Financial Market, Financial Accounting, Accounting, Share Capital, Financial Statements, Accruals"
Energy Withinenvironmental Constraints,Harvard University,Environmental Studies,Introductory,English,None,No,"Operating Cost, Environmentalism, Energy Production, Energetic"
Pre-University Calculus,Delft University Of Technology,Math,Introductory,English,"Professional Certificateinscience And Engineering Prep: Pre-University Calculus And Physics.Professional Certificateinscience And Engineering - Pre-University Calculus, Physics And Chemistry",Yes,"Basic Math, Analytic Geometry, Integration, Calculus"
Introduction To Musictheory,Berklee College Of Music,Humanities,Introductory,English,None,No,Music Theory
Italian Language Andculture: Intermediate(2023-2024),Wellesley College,Language,Intermediate,Italiano,Professional Certificate Initalian Language And Culture: Beginner To Advanced,Yes,"Reading Comprehension, Pronunciation, Grammar, Vocabulary, Language Education, Writing, Italian Language"
C++ Programming: Basicskills,Codio,Computer Science,Introductory,English,Professional Certificate Inc++ Programming: A Hands-On Introduction,Yes,"Computer Science, C++ (Programming Language)"
The Opioid Crisis Inamerica,Harvard University,Medicine,Introductory,English,None,No,"Medical Prescription, Drug Overdose Treatment"
Corporate Finance,Indian Institute Of Management B‚Ä¶,Business & Management,Intermediate,English,Micromasters‚ÆProgram Inbusiness Management,Yes,"Net Present Value, Purchasing, Finance, Financial Planning, Decision Making, Time Value Of Money, Corporate Finance, Management, Investments"
"Statistics 1 Part 1:Introductory Statistics,Probability And Estimation",The London School Of Economics‚Ä¶,Data Analysis & Statistics,Intermediate,English,Microbachelors Programinmathematics And Statistics Fundamentalsmicrobachelors Programinstatistics Fundamentals,Yes,"Probability, Data Visualization, Sampling (Statistics), Statistical Methods, Probability Theories, Social Sciences, Normal Distribution, Statistics, Management, Economics, Basic Math"
"Religion, Conflict Andpeace",Harvard University,Humanities,Introductory,English,None,No,"Peace And Conflict Studies, World Religions, Economic Policy, Public Health Education"
Linux Commands & Shellscripting,Ibm,Computer Science,Introductory,English,"Professional Certificate Indata Engineeringprofessional Certificate Insql, Etl And Bi Fundamentalsprofessional Certificate Indata Warehouse Engineeringprofessional Certificate Indevops And Software Engineering",Yes,"Mac OS, Ping (Networking Utility), Grep, Linux, cURL, Bash (Scripting Language), Software Development, Linux Commands, Unix, Command-Line Interface, Access Controls, Unix Shell, Cron, Shell Script, Operating Systems, Shell Commands, Linux Servers, Wget, Text Processing, File Management, Web Browsers, Scripting, Ifconfig"
Japanese Architecture Andstructural Design,Tokyo Institute Of Technology,Architecture,Intermediate,English,None,No,"Shear (Sheet Metal), Seismology, Aesthetics, Seismic Retrofit, Structural Engineering, Metabolism, Roofing, Environmentalism, Seismic Analysis"
Matlab Essentials,Mathworks,Engineering,Introductory,English,None,No,"Algorithms, Control Systems, Suspension (Vehicle), MATLAB, Image Processing, Signal Processing, Auditing, Templates, Communications, Data Analysis, Autonomous Vehicles, Visual Workplaces, Animations, Data Visualization, Computing Platforms, Machine Learning, Deep Learning, Computer Control Systems, Transferable Skills Analysis"
Humanitarian Response Toconflict And Disaster,Harvard University,Health & Safety,Introductory,English,None,No,"Ebola, Displacement (Fluid)"
Fundamentos De Anatom„≠Ay T„©Cnica Quir„∫rgica B„°Sica,Universidad Del Rosario,Medicine,Introductory,Espa„±Ol,None,No,"Anatomy, Medical Ultrasonography, First Aid, Trauma Care, Emergency Procedures, Heimlich Maneuver"
"Fundamentals Ofneuroscience, Part 3: Thebrain",Harvard University,Biology & Life Sciences,Introductory,English,Xseriesinfundamentals Of Neuroscience,Yes,None
Embedded Systemsessentials With Arm:Getting Started,Arm Education,Computer Science,Intermediate,English,Professional Certificate Inembedded Systems Essentials With Arm,Yes,"Embedded Systems, Internet Of Things (IoT), Sourcing, Artificial Intelligence, Smart Device, 5G Technology, Pulse-Width Modulation, Connected Devices, Digital Audio Player, Application Programming Interface (API), Peripheral Devices"
Html5 And Cssfundamentals,The World Wide Web Consortium‚Ä¶,Computer Science,Introductory,English,Professional Certificateinfront-End Web Developer,Yes,"Front End (Software Engineering), HTML5, Cascading Style Sheets (CSS), Web Standards, Web Design, Web Development, Look And Feel"
"Citiesx: The Past, Presentand Future Of Urban Life",Harvard University,Social Sciences,Introductory,English,None,No,"Human Capital, Urban Planning, Consolidation, Anthropology, Journalism, Sociology, Economics"
Linear Algebra I: Linearequations,The Georgia Institute Of Technology,Math,Intermediate,English,Professional Certificate Inintroductory Linear Algebra,Yes,"Linear Equations, Linear Algebra, Basic Math, Algorithms"
"Data Science Forconstruction, Architectureand Engineering",The National University Of Singap‚Ä¶,Data Analysis & Statistics,Introductory,English,None,No,"Extract Transform Load (ETL), Data Science, Data Analysis, Operations, Machine Learning, Pandas (Python Package), Top Secret-Sensitive Compartmented Information (TS/SCI Clearance), Python (Programming Language), Spreadsheets, Built Environment"
Introducci„≥N A Lainteligencia Artificial,Universidades An„°Huac,Computer Science,Introductory,Espa„±Ol,Professional Certificateininteligencia Artificial Y Rob„≥Tica,Yes,"Expert Systems, RapidMiner, Customer Satisfaction, Decision Tree Learning, Deep Learning, Data Science, Machine Learning, Artificial Intelligence, Customer Service, Forecasting, Natural Language Processing"
Business Strategy Fromwharton: Competitiveadvantage,The Wharton School Of The Univer‚Ä¶,Business & Management,Intermediate,English,Professional Certificate Instrategic Management,Yes,Business Strategies
